"id","name","price","type","categories","X","Y","geometry"
"0mgcpYB27STk-BZ0x-ulmw","Central Marathon Service","N/A","gas station","Gas Stations",-83.124226,42.312867,c(-83.124226, 42.312867)
"P2hh0gNIBlxmsMyks7AVTA","O & M Hawari","N/A","gas station","Gas Stations",-83.0917129516602,42.3139953613281,c(-83.0917129516602, 42.3139953613281)
"MgDihOZfk4oN10o0rj7T6A","S & R Grocery","N/A","grocery store","Grocery",-83.12723,42.30736,c(-83.12723, 42.30736)
"MkwAP25TM3bDlf_a1fUZRw","Plum Market","N/A","grocery store","Grocery",-83.0759691,42.3650994,c(-83.0759691, 42.3650994)
"q5OGSd1A1PsYYKOX7eiNqQ","El Rodeo","N/A","grocery store","Grocery",-83.1252517700195,42.3093338012695,c(-83.1252517700195, 42.3093338012695)
"nX_tt8-MfssYX8T3MCy_0g","Food Pride Market","$$","grocery store","Grocery",-83.05892,42.3589399,c(-83.05892, 42.3589399)
"4QiShLCGiYbogb8nGZ2xhw","Pancho's Palace","N/A","grocery store","Grocery",-83.1086959838867,42.3113708496094,c(-83.1086959838867, 42.3113708496094)
"cUleqBfVdnrehhXu-aelkQ","Elalteno","N/A","grocery store","Grocery",-83.12795,42.30296,c(-83.12795, 42.30296)
"kLwuEacC69wf8aVAa0BojA","Taqueria Mi Pueblo","$$","restaurant","Mexican",-83.1241897817536,42.3170909635414,c(-83.1241897817536, 42.3170909635414)
"-mguM6V0E2XTx3A1qBLSyw","Baobab Fare","$$","restaurant","Coffee & Tea/African/Juice Bars & Smoothies",-83.072813,42.370077,c(-83.072813, 42.370077)
"M_e9bzbH7yzwcVL_6an9Lw","Oak & Reel","N/A","restaurant","Italian/Seafood",-83.0668194030966,42.3722777840998,c(-83.0668194030966, 42.3722777840998)
"Xm2A4Xyd-dw4x86qZCV3hw","Chartreuse Kitchen & Cocktails","$$$","restaurant","New American/Tapas/Small Plates/Cocktail Bars",-83.0662595730009,42.3602983184418,c(-83.0662595730009, 42.3602983184418)
"UmU67SX3dP6ZVyIM1l8mZA","El Salpicon Detroit","$","restaurant","Mexican/Latin American/Seafood",-83.13208,42.3096699,c(-83.13208, 42.3096699)
"fGj2fwdxSuIB3hYPaUq1WQ","Michigan & Trumbull","$$","restaurant","Pizza/Cocktail Bars/Salad",-83.0819297677028,42.3626458168037,c(-83.0819297677028, 42.3626458168037)
"G85S1qea7RdPoZp1lBWzyw","Camino Real Mexican Grill","$","restaurant","Mexican",-83.118122,42.304198,c(-83.118122, 42.304198)
"VLeN8FYSLFZ8g7Oe0J_GWA","D.PRIME Steakhouse","N/A","restaurant","Steakhouses/Bars/Seafood",-83.060026,42.333266,c(-83.060026, 42.333266)
"4oeL2UZaD9IzIdarbIqfeA","The Congregation Detroit","$$","restaurant","Coffee & Tea/Cafes/Cocktail Bars",-83.100516,42.377392,c(-83.100516, 42.377392)
"blb0Agijfm5A9cqOq-d1sA","Taco El Primo","$","fast casual","Food Trucks/Tacos",-83.1261559,42.3168413,c(-83.1261559, 42.3168413)
"_3SXEvZRPtGpu1k_r7gM-Q","Zo's Good Burger - New Center Detroit","$","fast casual","Burgers",-83.080554,42.3672081,c(-83.080554, 42.3672081)
